User ID,Property ID,Match Score,Price Score,Bedroom Score,Bathroom Score,Text Score
1,30,74.25,94.74,100.0,100.0,32.45000076293945
1,20,73.24,94.74,100.0,100.0,29.559999465942383
1,9,71.71,84.21,100.0,100.0,37.220001220703125
1,14,70.42,94.74,100.0,50.0,35.779998779296875
1,22,68.34,84.21,100.0,50.0,41.869998931884766
1,23,63.73,63.16,100.0,100.0,38.4900016784668
1,2,63.29,84.21,100.0,50.0,27.450000762939453
1,10,61.71,54.88,100.0,100.0,42.16999816894531
1,8,61.69,54.88,100.0,100.0,42.11000061035156
1,5,60.35,52.63,100.0,100.0,40.849998474121094
10,5,61.79,47.24,100.0,100.0,51.13999938964844
10,3,60.98,47.24,100.0,100.0,48.83000183105469
10,13,57.51,47.24,100.0,100.0,38.900001525878906
10,17,54.42,47.24,100.0,100.0,30.06999969482422
10,19,49.44,22.31,100.0,100.0,44.33000183105469
10,23,48.85,22.31,100.0,100.0,42.630001068115234
10,26,48.16,22.31,100.0,100.0,40.68000030517578
10,18,45.25,22.31,100.0,100.0,32.36000061035156
10,22,45.14,4.98,100.0,100.0,51.86000061035156
10,6,44.54,22.31,50.0,100.0,51.75
11,7,79.04,94.74,100.0,100.0,46.130001068115234
11,29,71.26,92.11,100.0,50.0,41.189998626708984
11,12,68.22,92.11,100.0,0.0,46.790000915527344
11,15,67.81,94.74,50.0,50.0,49.7599983215332
11,1,67.27,94.74,100.0,0.0,41.060001373291016
11,11,61.76,94.74,0.0,100.0,39.619998931884766
11,10,58.86,78.95,100.0,0.0,35.08000183105469
11,24,58.79,92.11,50.0,0.0,41.290000915527344
11,8,57.96,78.95,50.0,0.0,53.93000030517578
11,4,57.35,78.95,0.0,100.0,45.06999969482422
12,23,78.69,94.74,100.0,100.0,45.119998931884766
12,5,77.21,87.72,100.0,100.0,48.90999984741211
12,19,76.96,94.74,100.0,100.0,40.20000076293945
12,3,76.88,87.72,100.0,100.0,47.9900016784668
12,26,74.91,94.74,100.0,100.0,34.34000015258789
12,13,71.81,87.72,100.0,100.0,33.4900016784668
12,18,71.29,94.74,100.0,100.0,23.969999313354492
12,6,70.08,94.74,50.0,100.0,41.959999084472656
12,17,68.3,87.72,100.0,100.0,23.469999313354492
12,22,55.27,36.79,100.0,100.0,44.439998626708984
13,30,76.97,94.74,100.0,100.0,40.220001220703125
13,9,71.49,84.21,100.0,100.0,36.58000183105469
13,20,65.93,94.74,50.0,100.0,30.100000381469727
13,5,63.51,52.63,100.0,100.0,49.869998931884766
13,2,63.41,84.21,100.0,0.0,42.06999969482422
13,22,62.46,84.21,100.0,0.0,39.349998474121094
13,13,61.54,52.63,100.0,100.0,44.2400016784668
13,23,61.32,63.16,100.0,100.0,31.600000381469727
13,8,59.6,54.88,100.0,50.0,50.41999816894531
13,17,58.76,52.63,100.0,100.0,36.29999923706055
14,23,75.57,90.23,100.0,100.0,41.36000061035156
14,13,72.11,75.19,100.0,100.0,48.66999816894531
14,5,71.46,75.19,100.0,100.0,46.810001373291016
14,3,67.56,75.19,100.0,50.0,49.959999084472656
14,17,67.13,75.19,100.0,100.0,34.439998626708984
14,9,65.85,65.14,100.0,100.0,42.279998779296875
14,26,65.59,90.23,50.0,100.0,34.27000045776367
14,19,63.87,90.23,50.0,50.0,43.66999816894531
14,22,63.53,65.14,100.0,50.0,49.91999816894531
14,18,62.06,90.23,50.0,50.0,38.47999954223633
15,9,74.98,93.57,100.0,100.0,35.880001068115234
15,22,72.78,93.57,100.0,50.0,43.869998931884766
15,2,72.11,93.57,100.0,50.0,41.95000076293945
15,30,69.77,71.65,100.0,100.0,46.02000045776367
15,23,67.31,70.18,100.0,100.0,40.66999816894531
15,20,66.51,71.65,100.0,100.0,36.720001220703125
15,5,64.63,58.48,100.0,100.0,46.380001068115234
15,13,62.11,58.48,100.0,100.0,39.209999084472656
15,14,62.01,71.65,100.0,50.0,38.150001525878906
15,3,60.46,58.48,100.0,50.0,48.77000045776367
16,8,72.52,94.74,100.0,50.0,41.77000045776367
16,30,72.1,87.72,100.0,100.0,34.33000183105469
16,10,69.81,94.74,100.0,50.0,34.04999923706055
16,4,66.6,94.74,0.0,100.0,53.45000076293945
16,29,65.51,60.65,100.0,100.0,46.439998626708984
16,16,65.27,94.74,100.0,0.0,35.34000015258789
16,9,63.57,70.18,100.0,100.0,30.010000228881836
16,20,63.13,87.72,50.0,100.0,30.110000610351562
16,5,62.56,43.86,100.0,100.0,57.189998626708984
16,23,61.5,52.63,100.0,100.0,44.130001068115234
17,5,78.26,94.74,100.0,100.0,43.88999938964844
17,3,77.67,94.74,100.0,100.0,42.209999084472656
17,13,75.31,94.74,100.0,100.0,35.470001220703125
17,17,71.74,94.74,100.0,100.0,25.270000457763672
17,19,60.82,54.88,100.0,100.0,39.61000061035156
17,18,58.67,54.88,100.0,100.0,33.47999954223633
17,26,57.97,54.88,100.0,100.0,31.469999313354492
17,23,56.67,54.88,100.0,100.0,27.780000686645508
17,6,51.64,54.88,50.0,100.0,34.81999969482422
17,9,47.57,16.53,100.0,100.0,45.599998474121094
18,29,72.51,94.74,100.0,50.0,41.7599983215332
18,10,70.66,90.23,100.0,0.0,55.900001525878906
18,12,69.11,94.74,100.0,0.0,46.31999969482422
18,7,64.57,65.14,100.0,100.0,38.599998474121094
18,4,63.34,90.23,0.0,100.0,49.27000045776367
